predicate,argument,role_type,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
devour,pig,ARG1,The pig devoured the scraps left after the feast.,1.0,"In the story, the magical pig devoured the entire field of golden apples.",1.0,"The pig devoured its meal with surprising speed, leaving nothing behind.",1.0,"After escaping, the pig devoured the vegetables in the garden voraciously.",1.0,The pig devoured the special feed designed to help it grow quickly.,1.0,5.6,1.0
devour,rabbit,ARG0,,0.3,,0.3,,0.3,,0.3,,0.3,3.3,0.3
devour,rabbit,ARG1,The rabbit devoured the carrot with surprising speed.,1.0,"In the quiet of the night, the rabbit devoured the fresh lettuce from the garden.",1.0,"Under the watchful eyes of the farmer, the rabbit devoured every green leaf in sight.",1.0,"Despite its small size, the rabbit devoured the entire apple slice in minutes.",1.0,The rabbit devoured the tender shoots of grass as if it hadn't eaten in days.,1.0,5.7,1.0
devour,snake,ARG0,The snake devoured the unsuspecting mouse in one swift movement.,1.0,"In the dense jungle, the snake devoured a small bird, blending back into its surroundings.",1.0,"The snake devoured its meal whole, slowly digesting it over several days.",1.0,"After shedding its skin, the snake devoured a large rat, replenishing its energy.",1.0,The snake devoured the eggs it found hidden beneath the leaves on the forest floor.,1.0,6.2,1.0
devour,snake,ARG1,The snake devoured the mouse in one swift gulp.,1.0,"In the dead of night, the snake devoured its prey without making a sound.",1.0,"After shedding its skin, the snake devoured a large rat to replenish its energy.",1.0,The snake devoured the eggs left unattended in the nest.,1.0,"With remarkable speed, the snake devoured the frog before it could leap away.",1.0,3.9,1.0
dismiss,principal,ARG0,The principal dismissed the unruly student from the classroom.,1.0,"After reviewing the case, the principal dismissed the allegations of cheating.",1.0,The principal dismissed the idea of canceling the school trip due to bad weather.,1.0,"Upon hearing the proposal, the principal quickly dismissed it as impractical.",1.0,"The principal dismissed the teacher's concerns about the new curriculum, assuring them it would be beneficial.",1.0,6.3,1.0
dismiss,principal,ARG1,The principal dismisses the notion that uniforms stifle creativity.,1.0,The principal dismisses the teacher for misconduct.,1.0,The principal dismisses the idea of canceling the school play.,1.0,The principal dismisses the suggestion to shorten the school year.,1.0,The principal dismisses the proposal for extending lunch breaks.,1.0,2,1.0
dismiss,pupil,ARG0,,0.2,,0.2,,0.2,,0.2,,0.2,1.5,0.2
dismiss,pupil,ARG1,The teacher had to dismiss the pupil for disruptive behavior.,1.0,"Due to the snowstorm, the principal decided to dismiss every pupil early.",1.0,"After the final bell, the coach will dismiss the pupil from practice.",1.0,The headmaster will dismiss the pupil from the assembly for talking.,1.0,"Once the exam was over, the proctor decided to dismiss the pupil.",1.0,5.5,1.0
dismiss,student,ARG0,The student dismissed the idea as irrelevant to the discussion.,1.0,The student dismissed the rumors about the exam being easy.,1.0,The student dismissed their peer's suggestion to skip class.,1.0,The student dismissed the notion that the course was unnecessary.,1.0,The student dismissed the warning about the upcoming project's difficulty.,1.0,1.5,1.0
dismiss,student,ARG1,The teacher had to dismiss the student from class for disruptive behavior.,1.0,"Due to repeated tardiness, the principal decided to dismiss the student from the school's honors program.",1.0,"After the final warning, the coach had no choice but to dismiss the student from the team.",1.0,The librarian needed to dismiss the student from the library for not following the rules.,1.0,"Because of cheating on the exam, the committee agreed to dismiss the student from the university.",1.0,5.9,1.0
dismiss,teacher,ARG0,The teacher dismissed the class early due to the fire drill.,1.0,,0.9,The teacher dismissed the idea of canceling the field trip due to a little rain.,1.0,"Upon hearing the rumor, the teacher quickly dismissed it as unfounded gossip.",1.0,The teacher dismissed the student's excuse for being late as it was the third time that week.,1.0,6.8,0.98
dismiss,teacher,ARG1,The school had to dismiss the teacher due to budget cuts.,1.0,"After the scandal, the board decided to dismiss the teacher immediately.",1.0,The principal will dismiss the teacher if the test scores do not improve.,1.0,"Due to inappropriate behavior, the committee voted to dismiss the teacher.",1.0,The teacher was dismissed after being found guilty of falsifying grades.,1.0,2.5,1.0
disobey,brat,ARG0,"The brat disobeyed his parents' strict curfew, staying out well past midnight.",1.0,"In class, the brat disobeyed the teacher's direct order to sit down, choosing instead to run around the room.",1.0,"Despite being told not to, the brat disobeyed by sneaking cookies from the jar before dinner.",1.0,"The brat disobeyed the librarian's request for silence, loudly chatting with his friends.",1.0,"At the park, the brat disobeyed the posted signs and climbed on the sculptures.",1.0,6.7,1.0
disobey,brat,ARG1,The brat disobeyed his parents' direct orders not to play video games past bedtime.,1.0,"In class, the brat disobeyed the teacher's instruction to remain silent during the test.",1.0,"Despite being told not to, the brat disobeyed by sneaking out to meet his friends.",1.0,The brat disobeyed the rule of not touching the antique vase in the living room.,1.0,"At the summer camp, the brat disobeyed the counselor's rule against going into the woods alone.",1.0,3.1,1.0
disobey,children,ARG0,The children disobey their parents' strict curfew every weekend.,1.0,"In the classroom, the children often disobey the teacher's instructions, causing chaos.",1.0,"Despite the clear rules at the summer camp, the children frequently disobey the counselors.",1.0,"The children disobey the safety guidelines at the pool, running on the wet deck.",1.0,"Even though they know the consequences, the children continue to disobey the librarian's request for silence.",1.0,6.1,1.0
disobey,children,ARG1,The children disobey their parents' strict curfew every weekend.,1.0,"In the classroom, the children often disobey the teacher's instructions, causing chaos.",1.0,"Despite the clear rules at the summer camp, the children frequently disobey the counselors.",1.0,"The children disobey the safety guidelines at the pool, running on the wet deck.",1.0,"Even though they know the consequences, the children continue to disobey the school's dress code.",1.0,3.3,1.0
disobey,commanders,ARG0,,0.0,"In a surprising turn of events, the commanders disobeyed the king's decree.",1.0,"Throughout history, some commanders have disobeyed orders to save lives.",1.0,"The commanders disobeyed the ceasefire agreement, leading to further conflict.",1.0,"Despite the risk, the commanders disobeyed the corrupt government's commands.",1.0,1.9,0.8
disobey,commanders,ARG1,,0.1,,0.1,"During the mission, they had no choice but to disobey their commanders to save civilian lives.",1.0,"The young cadets found it difficult to disobey their commanders, despite their moral reservations.",1.0,,0.1,3.6,0.46
disobey,orders,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.2,0.0
disobey,orders,ARG1,The soldiers disobeyed the orders given by their commander.,1.0,"In a moment of panic, the crew disobeyed the captain's orders to remain calm.",1.0,"Despite the consequences, the journalist disobeyed the government's orders to stop investigating.",1.0,The software disobeyed the user's orders due to a programming error.,1.0,The child knowingly disobeyed their parents' orders not to play in the street.,1.0,5.4,1.0
disobey,troops,ARG0,The troops disobeyed the direct orders from their commander.,1.0,"In the heat of battle, the troops disobeyed the retreat command, choosing instead to stand their ground.",1.0,"Despite the clear instructions, the troops disobeyed the rules of engagement.",1.0,"The troops disobeyed the ceasefire agreement, leading to further conflict.",1.0,"Faced with an unethical command, the troops disobeyed, upholding their moral principles.",1.0,2.6,1.0
disobey,troops,ARG1,The troops disobeyed the direct order from their commander.,1.0,"In the heat of battle, the troops disobeyed the retreat signal.",1.0,"Despite the consequences, the troops disobeyed the controversial command to withdraw.",1.0,"The troops disobeyed the protocol for engagement, leading to an unexpected victory.",1.0,"Faced with a moral dilemma, the troops disobeyed orders to harm civilians.",1.0,2.8,1.0
disown,babysitter,ARG0,,0.1,,0.1,"In a surprising turn of events, the babysitter chose to disown her previous identity, seeking a fresh start.",1.0,The babysitter vowed to disown any connections to the controversial parenting methods she once advocated.,1.0,"Feeling remorseful, the babysitter sought to disown the harsh words she had once spoken in anger.",1.0,1.8,0.64
disown,babysitter,ARG1,The family decided to disown the babysitter after she broke their trust.,1.0,"After the incident, they had no choice but to disown the babysitter from their circle of trust.",1.0,"Feeling betrayed, they chose to disown the babysitter, severing all ties.",1.0,The community was shocked when they heard the parents had to disown the babysitter for her actions.,1.0,"Due to her negligence, the parents felt compelled to disown the babysitter, making it clear she was no longer welcome.",1.0,2.3,1.0
disown,daughter,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,2.4,0.0
disown,daughter,ARG1,The wealthy family decided to disown their daughter after she refused to follow their traditions.,1.0,"After years of conflict, the parents finally took the drastic step to disown their daughter.",1.0,The king had no choice but to disown his daughter when she betrayed their kingdom.,1.0,"In a shocking move, the celebrity couple announced they had to disown their daughter due to her illegal activities.",1.0,"Despite her pleas for forgiveness, her family proceeded to disown their daughter, cutting all ties.",1.0,3,1.0
disown,slave,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,2,0.0
disown,slave,ARG1,The wealthy landowner decided to disown his slave after the rebellion.,1.0,"In a surprising turn of events, the master chose to disown his slave, granting him freedom.",1.0,,0.0,"After years of loyalty, the slave was shocked when his owner decided to suddenly disown him.",1.0,The community was in uproar when the prominent figure publicly announced his decision to disown his slave.,1.0,3.7,0.8
do,laborer,ARG0,The laborer did an excellent job on the construction site.,1.0,Laborers do important work in maintaining our city's infrastructure.,1.0,A skilled laborer does wonders with minimal resources.,1.0,"Laborers do the heavy lifting in many industries, ensuring progress.",1.0,The laborer did all the requested tasks efficiently and on time.,1.0,6.5,1.0
do,laborer,ARG1,The laborer did an excellent job on the construction site today.,1.0,"Every morning, the laborer does his best to complete the tasks assigned to him.",1.0,"In the heat of the day, the laborer did what was necessary to protect the new seedlings.",1.0,"Despite the challenges, the laborer did manage to finish the repair work on time.",1.0,The laborer did not hesitate to go above and beyond in his duties.,1.0,1.7,1.0
do,sloth,ARG0,The sloth did an excellent job of camouflaging itself among the branches.,1.0,The sloth did its best to reach the highest leaves on the tree.,1.0,"The sloth did a slow dance along the branch, captivating the onlookers.",1.0,"The sloth did not hurry, taking its time to enjoy the sunny spot.",1.0,"The sloth did a thorough job of grooming its fur, using its long claws.",1.0,2.3,1.0
do,sloth,ARG1,The sloth did an impressive job navigating through the dense foliage.,1.0,"In the documentary, the sloth did a slow but determined climb up the tree.",1.0,"At the zoo, the sloth did its best to entertain the curious onlookers.",1.0,"Despite its slow nature, the sloth did manage to escape from the predator.",1.0,The sloth did a remarkable job adapting to the changing environment.,1.0,2,1.0
do,vegetable,ARG0,,0.1,,0.1,,0.1,,0.1,,0.1,1.9,0.1
do,vegetable,ARG1,,0.2,,0.2,We need someone to do the vegetable arrangements for the banquet.,0.5,,0.2,,0.2,1.5,0.26
do,work,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.5,0.0
do,work,ARG1,I do work every day to support my family.,1.0,They do work that truly makes a difference in the community.,1.0,You must do work diligently to achieve success.,1.0,We all do work that challenges us in different ways.,1.0,She does work that combines her passion and skills.,1.0,6.4,1.0
draw,artist,ARG0,The artist draws a breathtaking landscape with ease.,1.0,An artist drew the portrait that won the competition.,1.0,The artist draws inspiration from nature for her paintings.,1.0,"Every morning, the artist draws in her sketchbook to practice.",1.0,The artist drew a crowd with her live painting session.,1.0,6.6,1.0
draw,artist,ARG1,The artist draws a breathtaking landscape.,1.0,An artist drew inspiration from the bustling city life.,1.0,A renowned artist draws attention to environmental issues through her art.,1.0,Young artists often draw from their personal experiences to create relatable art.,1.0,The artist draws a comparison between classical and modern art techniques.,1.0,2.1,1.0
draw,model,ARG0,The model draws inspiration from diverse cultures for her fashion line.,1.0,"In her studio, the model draws her own portraits as a form of self-expression.",1.0,The model draws attention to environmental issues through her social media platforms.,1.0,"During the workshop, the model draws from her experiences to teach aspiring artists.",1.0,"The model draws a crowd wherever she goes, thanks to her striking appearance.",1.0,2,1.0
draw,model,ARG1,The artist will draw the model for the new portrait.,1.0,"In the studio, they often draw the model in various poses.",1.0,Can you draw the model with more detail this time?,1.0,"I watched as she began to draw the model, capturing every feature.",1.0,He plans to draw the model from a different angle today.,1.0,6.4,1.0
draw,picture,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.2,0.0
draw,picture,ARG1,The artist can draw a picture with incredible detail.,1.0,Children love to draw pictures in their art class.,1.0,Can you draw a picture of this scene for our project?,1.0,She will draw a picture that captures the essence of the story.,1.0,They often draw pictures as a way to relax and express themselves.,1.0,6.7,1.0
draw,poster,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.1,0.0
draw,poster,ARG1,The artist decided to draw a poster for the upcoming environmental campaign.,1.0,"For the school project, each student was required to draw a poster illustrating a historical event.",1.0,Can you draw a poster that captures the essence of our music festival?,1.0,She has the talent to draw a poster that can communicate powerful messages without words.,1.0,"To raise awareness, they decided to draw a poster depicting the consequences of global warming.",1.0,5.9,1.0
eat,chicken,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,5.9,0.0
eat,chicken,ARG1,The chicken eats the grain scattered on the ground.,1.0,"In the barn, the chicken eats its fill of seeds.",1.0,"Every morning, the chicken eats the leftovers from the previous day.",1.0,"Under the warm sun, the chicken eats and pecks at the insects.",1.0,"The chicken eats quietly in its coop, away from the others.",1.0,6.7,1.0
eat,man,ARG0,The man eats a hearty breakfast every morning.,1.0,A man ate the last piece of cake without offering it to anyone else.,1.0,"In the wilderness, the man eats whatever he can find to survive.",1.0,"At the buffet, the man ate more than anyone else, impressing his friends.",1.0,"The man eats his lunch at the same time every day, a habit from his years of work.",1.0,6.9,1.0
eat,man,ARG1,The man eats a hearty breakfast every morning.,1.0,A man ate the last piece of cake without offering it to anyone else.,1.0,"In the documentary, the man eats only what he can forage in the wilderness.",1.0,The man eats his lunch at the same time every day to maintain his routine.,1.0,"After the marathon, the man ate a large meal to replenish his energy.",1.0,1.7,1.0
eat,poultry,ARG0,Poultry often peck at the ground to eat seeds and insects.,1.0,"In the wild, poultry eat a variety of foods including grains and small bugs.",1.0,Domesticated poultry are fed a diet that includes grains to eat.,1.0,"To maintain their health, poultry need to eat a balanced diet.",1.0,"When free-ranging, poultry eat plants, seeds, and occasionally small reptiles.",1.0,1.2,1.0
eat,poultry,ARG1,,0.0,,0.0,,0.0,,0.0,,0.0,6.6,0.0
eat,steak,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1,0.0
eat,steak,ARG1,The steak was eaten by John with great enthusiasm.,1.0,"At the dinner party, the guests eagerly ate the steak served to them.",1.0,She cut the steak into small pieces before she ate it.,1.0,He has never eaten steak that tasted as good as this one.,1.0,"After marinating for hours, the steak was finally ready to be eaten.",1.0,6.9,1.0
enslave,army,ARG0,"The army enslaved the entire region, imposing harsh conditions on the inhabitants.",1.0,,0.9,,0.9,"With superior tactics and weaponry, the army quickly enslaved the opposing forces, taking no prisoners.",1.0,,0.9,5.4,0.94
enslave,army,ARG1,"The army was enslaved by the conquering forces, forced to abandon their homeland.",1.0,"In a dark twist of fate, the once mighty army found themselves enslaved by the enemy they underestimated.",1.0,"The invading force managed to enslave the entire army, using them as pawns in their subsequent battles.",1.0,"History tells of a powerful army that was enslaved after their defeat, their strength harnessed by their captors.",1.0,"The army, once proud defenders of their nation, were enslaved and made to work on the very fortifications they once protected.",1.0,2.9,1.0
enslave,peasants,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.7,0.0
enslave,peasants,ARG1,The oppressive regime sought to enslave the peasants for their own gain.,1.0,"In the medieval era, it was not uncommon for warlords to enslave peasants and force them into labor.",1.0,The tyrant's ultimate goal was to enslave the peasants and use them to build his empire.,1.0,"Economic desperation led some to willingly enslave the peasants, justifying it as a means of survival.",1.0,Historical documents reveal attempts to enslave the peasants as a way to control the population.,1.0,5.6,1.0
enslave,pirates,ARG0,Pirates enslaved entire coastal villages during their raids.,1.0,"In the 17th century, pirates enslaved many sailors they captured at sea.",1.0,Pirates often enslaved their prisoners to work on their ships.,1.0,"Historically, pirates enslaved people to sell in the markets of the Caribbean.",1.0,Pirates enslaved survivors of shipwrecks to increase their crew.,1.0,6.3,1.0
enslave,pirates,ARG1,Pirates enslave their captives to work on the ship.,1.0,"In the novel, pirates enslave a village to find the hidden treasure.",1.0,"Historically, pirates would enslave defeated sailors to increase their crew.",1.0,The pirates enslave anyone who dares to cross their path on the high seas.,1.0,,0.8,2.7,0.96
enslave,victim,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.5,0.0
enslave,victim,ARG1,The pirates would often enslave their victims after raiding ships.,1.0,"In ancient times, conquerors would enslave the victims of their wars to build their empires.",1.0,"The cult's leader sought to mentally enslave his victims, controlling every aspect of their lives.",1.0,Corrupt regimes may enslave their victims by forcing them into labor camps.,1.0,"Traffickers enslave their victims, exploiting them for profit in various illegal industries.",1.0,4.3,1.0
entertain,audience,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.7,0.0
entertain,audience,ARG1,The comedian never fails to entertain the audience with his witty jokes.,1.0,"To entertain the audience, the magician performed his most spectacular trick yet.",1.0,The play was designed to entertain the audience with its dramatic twists and turns.,1.0,"During the intermission, a local band came on stage to entertain the audience.",1.0,"The film festival's opening movie managed to entertain the audience, setting a high bar for the rest of the event.",1.0,6.7,1.0
entertain,businessman,ARG0,The businessman entertains clients at upscale restaurants to secure deals.,1.0,A successful businessman often entertains the idea of expanding his enterprise internationally.,1.0,"Every Friday, the businessman entertains his employees with a casual team dinner.",1.0,The businessman entertains partnerships with innovative startups to stay ahead in the market.,1.0,"In his leisure time, the businessman entertains himself by reading about new investment strategies.",1.0,5,1.0
entertain,businessman,ARG1,The businessman entertains clients at upscale restaurants to secure deals.,1.0,A successful businessman often entertains thoughts of expanding his empire.,1.0,"Every Friday, the businessman entertains his staff with motivational speeches.",1.0,"In his leisure time, the businessman entertains the idea of writing a memoir.",1.0,The businessman entertains partnerships with innovative startups to diversify his portfolio.,1.0,4.5,1.0
entertain,comedian,ARG0,The comedian entertained the audience with his witty jokes.,1.0,"A comedian entertained the guests at the party, making everyone laugh.",1.0,"Last night, a comedian entertained us with stories and impersonations.",1.0,"At the fundraiser, the comedian entertained the crowd with humorous anecdotes.",1.0,The comedian entertained the children at the birthday party with magic tricks and funny faces.,1.0,6.9,1.0
entertain,comedian,ARG1,The comedian entertained the audience with his witty jokes.,1.0,A comedian entertained us all evening at the club.,1.0,"At the party, the comedian entertained the guests with clever impersonations.",1.0,"The comedian entertained the crowd at the festival, making everyone laugh.",1.0,"During the charity event, a comedian entertained the attendees with hilarious stories.",1.0,2.7,1.0
entertain,idea,ARG0,,0.1,,0.1,,0.1,,0.1,,0.1,5.1,0.1
entertain,idea,ARG1,,0.7,,0.7,,0.7,,0.7,,0.7,4.2,0.7
entertain,patron,ARG0,The patrons entertained the idea of a themed night at the bar.,1.0,,0.1,,0.1,Patrons at the library were entertained by the storytelling session for children.,1.0,,0.1,1.7,0.46
entertain,patron,ARG1,The comedian never fails to entertain patrons with his witty jokes.,1.0,Local bands entertain patrons every Friday night at the downtown pub.,1.0,"To entertain patrons during the wait, the restaurant provides live music.",1.0,Museums entertain patrons with interactive exhibits and engaging tours.,1.0,The magician was hired to entertain patrons at the annual gala event.,1.0,4.7,1.0
entertain,stripper,ARG0,The stripper entertained the crowd with an astonishing performance.,1.0,"At the club, the stripper entertained guests with her mesmerizing dance moves.",1.0,"Throughout the night, the stripper entertained the audience, leaving them in awe.",1.0,"With her unique style, the stripper entertained onlookers, drawing a large crowd.",1.0,"The stripper entertained the party-goers, making the event unforgettable.",1.0,7,1.0
entertain,stripper,ARG1,The stripper entertained the crowd with an astonishing performance.,1.0,"At the club, a stripper entertained guests with her mesmerizing dance moves.",1.0,"During the party, a stripper entertained the audience, leaving everyone in awe.",1.0,"A talented stripper entertained the bachelor party, making it a night to remember.",1.0,"In the dimly lit room, the stripper entertained onlookers with her incredible flexibility and rhythm.",1.0,2.2,1.0
evaluate,applicant,ARG0,,0.1,,0.1,,0.1,,0.1,,0.1,3.3,0.1
evaluate,applicant,ARG1,,0.9,"Before making a decision, we must evaluate the applicant's experience and skills.",0.9,"To ensure fairness, it's important to evaluate each applicant against the same criteria.",1.0,The system is designed to automatically evaluate the applicant's eligibility for the program.,0.5,,0.9,5.7,0.84
evaluate,automobile,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.2,0.0
evaluate,automobile,ARG1,Experts regularly evaluate automobiles to ensure they meet safety standards.,1.0,"Before making a purchase, many consumers evaluate automobiles for fuel efficiency and comfort.",1.0,"In the latest issue, the magazine evaluates automobiles based on their performance and design.",1.0,"To maintain their value, owners must periodically evaluate automobiles for signs of wear and tear.",1.0,Automobile enthusiasts often evaluate automobiles to discuss their historical significance and technological advancements.,1.0,4.5,1.0
evaluate,committee,ARG0,The committee will evaluate the proposals submitted for the grant.,1.0,A committee evaluates the performance of the faculty annually.,1.0,The committee evaluated the effectiveness of the new policy.,1.0,"Before making a decision, the committee evaluates all possible outcomes.",1.0,The committee is evaluating the applications for the scholarship program.,1.0,6.3,1.0
evaluate,committee,ARG1,The committee will evaluate the proposals submitted for the grant.,1.0,A committee evaluates the performance of the faculty annually.,1.0,The committee evaluated the effectiveness of the new policy.,1.0,This committee is tasked to evaluate the applications for the scholarship program.,1.0,The committee has been evaluating the safety protocols of the event.,1.0,3.9,1.0
evaluate,instructor,ARG0,The instructor evaluated the students' final projects thoroughly.,1.0,An experienced instructor will evaluate the course curriculum to ensure it meets educational standards.,1.0,"Before the semester ends, the instructor must evaluate all assignments and exams.",1.0,"To improve teaching methods, the instructor evaluated feedback from the course evaluations.",1.0,The instructor decided to evaluate the effectiveness of new teaching tools in enhancing student learning.,1.0,6.1,1.0
evaluate,instructor,ARG1,The instructor will evaluate the students' projects by the end of the week.,0.0,An experienced instructor must evaluate the effectiveness of the new curriculum.,1.0,"Before the semester ends, the instructor will evaluate each student's participation.",1.0,The instructor needs to evaluate the latest teaching tools to enhance the learning experience.,1.0,"To ensure fairness, the instructor will evaluate the assignments anonymously.",1.0,4,0.8
evaluate,possibilities,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.9,0.0
evaluate,possibilities,ARG1,We need to evaluate all possible outcomes before making a decision.,0.8,The team will evaluate the possibilities for expanding into new markets.,1.0,Can you evaluate the possibilities of success if we implement this strategy?,1.0,It's crucial to evaluate the possibilities before committing to any plan.,1.0,They hired a consultant to evaluate the possibilities for improving efficiency.,1.0,6.3,0.96
evaluate,student,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,5.4,0.0
evaluate,student,ARG1,,0.9,Our system is designed to automatically evaluate student participation in online forums.,1.0,It's important for teachers to fairly evaluate each student's contribution to the group project.,1.0,The software tool was developed to help instructors evaluate student essays more efficiently.,0.5,,0.9,5.5,0.86
evaluate,supervisor,ARG0,The supervisor evaluates the team's performance every quarter.,1.0,"As part of her duties, the supervisor evaluates the effectiveness of the training programs.",1.0,"Before the project can proceed, the supervisor evaluates the proposed budget for feasibility.",1.0,The supervisor evaluates the safety protocols to ensure compliance with regulations.,1.0,"In annual reviews, the supervisor evaluates employees' contributions and sets goals for the next year.",1.0,6.7,1.0
evaluate,supervisor,ARG1,The supervisor will evaluate the team's performance at the end of the project.,1.0,A supervisor must evaluate each employee's contribution to the annual report.,1.0,"In our company, the supervisor is responsible to evaluate the effectiveness of the training programs.",1.0,"During the review process, the supervisor will evaluate the staff's adherence to company policies.",1.0,It is crucial for the supervisor to evaluate the safety protocols every quarter to ensure compliance.,1.0,4.3,1.0
examine,defendant,ARG0,The defendant examined the evidence carefully before the trial.,1.0,"Before making a statement, the defendant examined the room for any familiar faces.",1.0,The defendant examined his options with his lawyer during the consultation.,1.0,"After the verdict, the defendant examined the jury's reactions to understand their decision.",1.0,The defendant examined the plea deal offered by the prosecution before making a decision.,1.0,2.7,1.0
examine,defendant,ARG1,The lawyer decided to examine the defendant closely before the trial.,1.0,"Before making a final decision, the judge needed to examine the defendant's testimony.",0.0,"To ensure a fair trial, it was crucial to examine the defendant's alibi thoroughly.",0.5,The jury had the opportunity to examine the defendant's behavior during the incident.,0.5,It was the prosecutor's job to examine the defendant's motives and actions.,0.5,5.8,0.5
examine,doctor,ARG0,The doctor examined the patient thoroughly to ensure a correct diagnosis.,1.0,"Before prescribing any medication, the doctor examined the child's symptoms carefully.",1.0,"In the emergency room, the doctor examined the accident victim's injuries immediately.",1.0,"During the routine check-up, the doctor examined the elderly man's heart rate and blood pressure.",1.0,"After the surgery, the doctor examined the patient's recovery progress daily.",1.0,6.6,1.0
examine,doctor,ARG1,The doctor examined the patient thoroughly to ensure a correct diagnosis.,1.0,"Before prescribing any medication, the doctor examined the child's symptoms carefully.",1.0,"In the emergency room, the doctor examined the accident victim's injuries immediately.",1.0,"During the routine check-up, the doctor examined the elderly woman's heart rate and blood pressure.",1.0,"After the surgery, the doctor examined the patient's recovery progress daily.",1.0,1.9,1.0
examine,evidence,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.4,0.0
examine,evidence,ARG1,The detective decided to examine the evidence closely to find any fingerprints.,1.0,"Before making a decision, the judge took time to examine the evidence presented in court.",1.0,"To ensure accuracy, the scientist needed to examine the evidence under a microscope.",1.0,The lawyer asked the jury to carefully examine the evidence before reaching a verdict.,1.0,"In her thesis, the graduate student chose to examine the evidence supporting the theory of evolution.",1.0,6.3,1.0
examine,horse,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.4,0.0
examine,horse,ARG1,The veterinarian decided to examine the horse for any signs of illness.,1.0,"Before the race, they had to examine the horse to ensure it was in peak condition.",1.0,"To determine the cause of the limp, we must examine the horse thoroughly.",1.0,Can you examine the horse to see if it's suitable for the beginner riders?,1.0,"After the fall, it was crucial to examine the horse for any injuries.",1.0,4.9,1.0
examine,patient,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,2.1,0.0
examine,patient,ARG1,The doctor decided to examine the patient thoroughly to ensure no underlying conditions were missed.,1.0,"Before prescribing any medication, it's crucial to examine the patient to understand their current health status.",1.0,"To diagnose the mysterious symptoms, the specialist had to examine the patient for over an hour.",1.0,"After the accident, the paramedics were quick to examine the patient for any life-threatening injuries.",1.0,"During the routine check-up, the nurse took time to examine the patient, noting any changes in their health.",1.0,6.3,1.0
examine,report,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,3.2,0.0
examine,report,ARG1,The committee will examine the report thoroughly before making any decisions.,1.0,"Before presenting their findings, the researchers must examine the report for accuracy.",1.0,"To ensure compliance, the auditor has to examine the report against the financial regulations.",1.0,The teacher asked the students to examine the report on climate change for their project.,1.0,"After the incident, the safety officer decided to examine the report to understand what went wrong.",1.0,6.3,1.0
examine,scientist,ARG0,The scientist examines the new species under the microscope.,1.0,Scientists examine the effects of climate change on polar ice caps.,1.0,A scientist examined the chemical reaction in the lab.,1.0,Scientists are examining the genetic makeup of the virus.,1.0,The scientist examined the archaeological findings with great interest.,1.0,6.7,1.0
examine,scientist,ARG1,The scientist examines the new species under the microscope.,1.0,A scientist examines the chemical reaction in the lab.,1.0,The scientist examines the data from the recent experiment.,1.0,A scientist examines the geological samples collected from the field.,1.0,The scientist examines the patient's symptoms to diagnose the disease.,1.0,2.3,1.0
excuse,auditor,ARG0,The auditor excused himself for arriving late to the meeting.,1.0,The auditor excused her mistake by explaining the complex nature of the financial documents.,1.0,The auditor excused his absence from the conference call due to an unexpected audit emergency.,1.0,"The auditor excused their team's delay in submitting the report, citing unforeseen technical difficulties.",1.0,"The auditor excused the oversight in the financial analysis, promising a thorough review.",1.0,3.5,1.0
excuse,auditor,ARG1,The manager had to excuse the auditor for arriving late due to unforeseen traffic.,1.0,"During the meeting, they had to excuse the auditor to take an urgent call.",1.0,The team decided to excuse the auditor from the day's proceedings as he was feeling unwell.,1.0,The conference organizer had to excuse the auditor from the panel discussion due to a scheduling conflict.,1.0,"The committee agreed to excuse the auditor from submitting his report on time, given the recent data breaches.",1.0,2.6,1.0
excuse,drummer,ARG0,The drummer excused himself for being late to the rehearsal.,1.0,The drummer excused his absence from the last performance due to illness.,1.0,The drummer excused the loud noise as he was practicing for the upcoming concert.,1.0,The drummer excused his mistake during the live show by admitting he lost his place in the music.,1.0,"The drummer excused his early departure from the band meeting, citing a family emergency.",1.0,2.7,1.0
